tensor,attention,story_id,token_id
4013,0.006700549274682999,0,105
22035,0.006820413284003735,0,106
4424,0.006994992960244417,0,107
6550,0.007072550244629383,0,108
2007,0.007159184664487839,0,109
2010,0.007035709451884031,0,110
2931,0.007088372949510813,0,111
4619,0.00672471197322011,0,112
2493,0.006595108658075333,0,113
1012,0.005933129228651524,0,114
2019,0.005801390390843153,0,115
2981,0.0057701291516423225,0,116
4812,0.0056281182914972305,0,117
2011,0.005471292417496443,0,118
2019,0.005597389303147793,0,119
6327,0.005845522973686457,0,120
2375,0.005766591988503933,0,121
3813,0.005681267008185387,0,122
2001,0.005755431484431028,0,123
4837,0.005765956360846758,0,124
1012,0.006539836525917053,0,125
2065,0.006770885083824396,0,126
2179,0.006731967907398939,0,127
5905,0.006346253678202629,0,128
1997,0.006464255973696709,0,129
4424,0.006918410304933786,0,130
16011,0.0068180072121322155,0,131
1010,0.006535742897540331,0,132
3044,0.006566380150616169,0,133
2089,0.006354063283652067,0,134
2022,0.006370871793478727,0,135
6731,0.006596159189939499,0,136
2005,0.0066651892848312855,0,137
2019,0.00675219064578414,0,138
25617,0.006524345837533474,0,139
3815,0.006735439877957106,0,140
1997,0.0066807083785533905,0,141
2051,0.006389697082340717,0,142
2030,0.006159083917737007,0,143
2130,0.0063049448654055595,0,144
5045,0.006484338082373142,0,145
1010,0.0062081837095320225,0,146
1037,0.006546416785567999,0,147
10958,0.006745569873601198,0,148
15780,0.007101941388100386,0,149
2005,0.007127298507839441,0,150
7470,0.007030420936644077,0,151
2094,0.006877494975924492,0,152
12655,0.006394682917743921,0,153
1012,0.006216603796929121,0,154
4283,0.00836779735982418,1,0
2000,0.008899879641830921,1,1
1037,0.008392631076276302,1,2
9410,0.008252658881247044,1,3
6636,0.00841886829584837,1,4
6258,0.008974125608801842,1,5
4638,0.008322068490087986,1,6
1010,0.008243736810982227,1,7
1996,0.008221102878451347,1,8
9003,0.008554273284971714,1,9
2610,0.008208579383790493,1,10
2020,0.007820324040949345,1,11
2583,0.008305799216032028,1,12
2000,0.00856109894812107,1,13
4652,0.008955366909503937,1,14
1037,0.008325183764100075,1,15
19535,0.008292526006698608,1,16
3535,0.008027678355574608,1,17
1012,0.007856480777263641,1,18
2027,0.007828009314835072,1,19
2179,0.008129398338496685,1,20
5018,0.008311362937092781,1,21
12564,0.008420410566031933,1,22
5055,0.008746175095438957,1,23
