Data_type,Epoch,Loss
training,0,0.08133466
training,0,0.035451487
training,0,0.04259711
training,0,0.03554862
training,0,0.0021222045
training,0,0.027301
training,0,0.025956606
training,0,0.05171737
training,0,0.04144203
training,0,0.0003272716
training,0,0.043505646
training,0,0.00047401118
training,0,0.0059537934
training,0,0.032990143
training,0,0.0057717147
training,0,0.0006416347
training,0,0.00023888687
training,0,0.027403634
training,0,0.0039006548
training,0,0.006413971
training,0,0.0001818205
training,0,0.04879397
training,0,0.03812959
training,0,0.00051916233
training,0,0.03987145
training,0,0.020115355
training,0,0.0022528523
training,0,0.0023027249
training,0,0.010318311
training,0,0.035925884
training,0,0.0008952269
training,0,2.1760371e-12
training,0,0.010637363
training,0,0.031518467
training,0,0.0165771
training,0,0.015556315
training,0,0.033390924
training,0,0.018202003
training,0,0.01971544
training,0,0.023438483
training,0,0.014405918
training,0,0.020119451
training,0,0.010895625
training,0,0.009539744
training,0,0.022501089
training,0,0.010912339
training,0,0.02447288
training,0,2.8223105e-06
training,0,0.0034152702
training,0,0.026426218
training,0,0.00025230844
training,0,0.005255602
training,0,0.013411403
training,0,0.00010427746
training,0,0.0008304815
training,0,0.006579907
training,0,0.009068569
training,0,0.0034822016
training,0,0.0004893846
training,0,0.005156484
training,0,0.030131767
training,0,0.0010292339
training,0,0.00027151566
training,0,0.018275807
training,0,0.0011461213
training,0,0.0044370852
training,0,0.0010981997
training,0,0.008314059
training,0,0.0064723566
training,0,0.010650913
training,0,0.0014333228
training,0,0.0011869209
training,0,0.0056890403
training,0,1.2451148e-05
training,0,6.554229e-05
training,0,0.014310448
training,0,0.039041147
training,0,0.007217184
training,0,0.02536103
training,0,0.028507736
training,0,5.048139e-06
training,0,0.0039163907
training,0,0.00022679968
training,0,0.005600986
training,0,0.00022398394
training,0,0.0030696606
training,0,0.0036831414
training,0,0.011452323
training,0,0.002417323
training,0,0.026014956
training,0,0.01465988
training,0,0.015061365
training,0,0.002312816
training,0,0.00014369388
